,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15
735,2591820310,365000.0,4,2.25,2070,8893,2.0,2070,0,1986,2390,7700
2830,7974200820,865000.0,5,3.0,2900,6730,1.0,1830,1070,1977,2370,6283
4106,7701450110,1038000.0,4,2.5,3770,10893,2.0,3770,0,1997,3710,9685
16218,9522300010,1490000.0,3,3.5,4560,14608,2.0,4560,0,1990,4050,14226
19964,9510861140,711000.0,3,2.5,2550,5376,2.0,2550,0,2004,2250,4050
1227,1761300310,211000.0,4,2.0,1710,8288,1.5,1710,0,1970,1710,7200
18849,7732410120,790000.0,4,2.5,2690,8036,2.0,2690,0,1987,2420,8087
19369,7010701383,680000.0,3,2.5,1800,4400,1.0,1350,450,1970,1920,4400
20164,291310170,384500.0,3,2.5,1600,2610,2.0,1600,0,2005,1445,1288
7139,4232901990,605000.0,2,1.0,910,3600,1.0,910,0,1909,1720,3600
2174,6840701125,638000.0,3,1.0,1830,4400,1.5,1720,110,1930,1650,4400
13342,3971700580,385000.0,3,1.75,1930,14389,1.0,1130,800,1963,1730,14378
15468,4202400078,175000.0,2,1.0,1410,7000,1.0,1410,0,1968,1540,6000
7662,6064800090,365000.0,3,2.25,1960,1985,2.0,1750,210,2003,1760,1985
16941,2626119028,160000.0,3,1.0,1140,3240,1.5,1140,0,1910,1140,4700
5304,3303980660,1070000.0,4,3.75,4130,12320,2.0,4130,0,2001,3690,11227
6377,862000020,800000.0,6,1.0,1430,20620,2.0,1430,0,1954,2450,10080
12319,2386000070,795127.0,4,3.25,4360,91158,1.0,3360,1000,1993,3540,90940
18835,1138000450,355000.0,4,1.0,1440,7215,1.5,1440,0,1969,1150,7215
5337,1775800420,474000.0,4,2.25,1960,14834,1.0,1330,630,1976,1540,15000
3018,2291401425,485000.0,5,2.0,1910,5508,1.0,1020,890,1968,1030,7440
1807,2025770560,930000.0,4,4.25,5710,24663,2.0,5710,0,2007,4060,23847
10110,3525069037,920000.0,3,2.75,2590,223027,2.0,2590,0,1983,3410,212137
7609,9324800450,560000.0,3,1.5,2790,6900,1.0,1700,1090,1955,2410,8100
20693,8080400136,654000.0,3,3.25,1530,1565,2.0,1280,250,2005,1530,1381
13958,8651540040,549000.0,3,2.25,1920,10961,2.0,1920,0,1981,2000,10706
8918,9407001790,290000.0,3,1.0,1010,10800,1.0,1010,0,1972,1370,9500
18059,1773101530,275000.0,1,1.0,520,4800,1.0,520,0,1930,800,4960
16118,9432900250,329990.0,4,2.75,2420,8438,2.0,2420,0,1997,2270,8770
10366,1794500695,750000.0,2,1.5,1110,3600,1.0,1110,0,1904,1670,5400
17825,2220069003,425000.0,3,2.75,1360,542322,1.0,1140,220,1955,1700,60548
14298,923000120,515000.0,3,1.5,2200,7620,1.0,1130,1070,1942,2170,7672
2152,5728000060,605000.0,3,1.75,1850,8823,1.0,1370,480,1973,1880,7580
11702,16000200,250000.0,3,2.25,1640,4420,2.0,1640,0,1918,1230,6632
12262,1926059094,330000.0,3,1.75,1340,10276,1.0,1340,0,1961,2950,7987
14585,6672900220,984000.0,4,2.25,2390,12292,1.0,2390,0,1962,2870,12337
11441,3629860060,827500.0,5,4.25,3920,5823,2.0,3000,920,2000,3000,5297
5512,1822069109,485000.0,3,2.5,2540,51836,1.0,1820,720,1976,1650,51836
9757,6675500105,306000.0,3,2.0,1160,7217,1.0,1160,0,1969,1870,9104
12509,249000180,1890000.0,4,4.25,4285,9345,2.0,4285,0,2013,1570,8994
11275,226059065,514000.0,3,2.25,2260,54014,1.0,1450,810,1962,2140,44431
9526,396100110,282613.0,2,1.0,830,6017,1.0,830,0,1954,1340,6040
20145,9264450460,309000.0,5,2.75,2481,4045,2.0,2481,0,2014,2363,4175
20924,7853361210,400000.0,3,2.0,1650,5027,1.5,1650,0,2009,2430,6000
15891,9474700020,310000.0,3,1.0,1010,9945,1.0,1010,0,1973,1390,12710
13804,421000455,253200.0,3,1.0,1360,5840,1.0,1360,0,1953,1250,6708
12909,3755200220,334009.0,4,2.0,1650,9305,1.0,1650,0,1960,1860,7486
10356,7960100075,500000.0,3,2.0,1540,3600,1.0,890,650,1994,1540,3600
2862,9477100490,441500.0,3,1.75,1510,7700,1.0,1510,0,1968,1440,7416
12369,9138100350,685000.0,4,2.0,2290,6000,1.5,2290,0,1900,2000,3150
13643,1624049275,327000.0,4,2.5,1630,5361,2.0,1630,0,1999,1920,5046
6036,2770606890,450000.0,4,1.75,1520,5250,1.0,1520,0,1949,1530,5250
10069,1157200189,356000.0,3,3.5,2100,12384,2.0,2100,0,1980,2400,7776
7924,2770601800,525000.0,3,1.75,1560,6000,1.0,780,780,1944,1560,1734
20062,9301300805,675000.0,3,2.5,1300,1590,2.0,1100,200,2014,1070,1223
10815,2325069032,875000.0,5,4.25,4720,18741,2.0,3210,1510,2005,3880,37328
5391,1021079099,345000.0,3,2.5,1990,20466,1.5,1410,580,1987,1660,93393
9453,7215730040,695000.0,4,3.0,3150,9130,2.0,3150,0,2001,2970,6228
5371,1853200080,350000.0,2,1.0,1620,9205,1.0,850,770,1921,2460,5469
10423,3224600340,695000.0,4,2.5,2790,6540,2.0,2790,0,1999,2790,6270
6648,3222049120,400000.0,4,3.0,2320,13068,2.0,2320,0,1998,2220,25265
8350,2113700025,330000.0,2,1.0,1129,3840,1.0,1129,0,1953,1300,3880
9672,7893207925,265000.0,3,1.5,1290,7100,1.0,1290,0,1954,1300,7183
13462,3586501085,630000.0,4,2.5,2290,26720,2.0,2290,0,1977,2290,26720
6051,8024200010,312000.0,2,1.0,1460,6000,1.0,1260,200,1925,1580,6380
4296,7116500705,156000.0,2,1.0,920,5889,1.0,920,0,1950,1210,6180
13848,1598600209,300000.0,6,2.5,3080,8163,1.0,1580,1500,1985,1850,8658
18722,7204200025,1225000.0,4,2.5,3120,49456,2.0,2590,530,1974,2030,32181
10508,4206901505,465000.0,2,1.0,1120,4000,1.0,1120,0,1926,1620,4000
20126,2937300440,923990.0,4,2.5,3600,6055,2.0,3600,0,2014,3590,6050
7555,7205000180,320000.0,4,2.25,2000,10374,2.0,2000,0,1967,2170,10374
14358,8718500665,375000.0,3,1.0,1610,11250,1.0,1090,520,1975,2040,10692
9003,5318101765,985000.0,3,1.75,1670,5400,2.0,1670,0,1912,2100,5400
6385,4122700020,850000.0,5,2.0,2310,13430,1.5,2310,0,1966,2810,13906
4954,8078700020,474900.0,3,2.25,1800,43647,1.0,1800,0,1976,2480,25608
5214,3303980680,997000.0,4,3.5,3430,13609,2.0,3430,0,2001,3880,11614
20257,8924100372,1302000.0,4,3.5,3590,5334,2.0,3140,450,2006,2100,6250
12626,2781270210,209900.0,2,2.0,1180,3003,2.0,1180,0,2005,1310,3003
13244,519000043,602000.0,3,2.5,1640,3804,2.0,1640,0,1998,1440,3230
10385,3225069301,1228000.0,4,2.5,5730,44947,2.0,4280,1450,1991,3310,17628
2752,151000075,856000.0,3,2.5,2160,3920,2.0,2160,0,2014,1500,4920
16849,2297400020,392000.0,3,2.25,1790,7125,1.0,1220,570,1974,2040,7950
12618,6617500085,500000.0,4,2.5,2900,5760,1.0,1660,1240,1959,2250,6098
